Observability of peer use of AI,Intention to adopt AI
2.470247480191586,3.1028405637448073
2.7434597010625072,3.5261846801094654
4.567693420062689,4.8786685816988795
4.224775956184343,4.845784479463797
3.8155543341614653,2.5338404722205676
1.4009075492492045,2.5979043577613212
4.677930454978695,5.0
3.8569651981964457,2.433851722619546
4.995388026271466,4.995564345023759
1.597793218631975,1.0
4.472504229472857,3.3895956555773346
1.6499717387054993,2.9581846109879835
3.4622382571353767,2.2718621639331866
1.495279931397766,1.9063575642129178
4.392032917288938,2.9216935307269507
4.229275834900043,5.0
3.2764029544583733,3.9069818744867377
2.6287331889039987,3.959579690301075
1.2766679818205522,2.519559325239085
3.7897150925782546,3.6769945358955707
2.8141707307122754,1.9795765934447798
3.8882223978813917,3.78574792830904
4.465529303714517,3.6340023436733615
4.902086020011543,5.0
4.423213369570444,5.0
1.0468563367400079,4.007146511532873
2.4399122579134556,4.134279594024033
3.919962249696232,3.5104595072682416
1.686518709045762,1.880022404950964
3.084146424816517,4.3812446992192555
1.2173519533570145,3.039327672810752
1.7999860995856003,1.317881382645477
1.0740871778424559,2.9654921638062333
4.1747908134296825,4.982937146212611
1.8956987522415205,3.102785673365724
2.381406722787611,3.118716441162807
4.7123251738623635,3.716019775434268
3.817657607694131,2.6527974153387888
1.1273557181252314,3.4152344681168945
1.658776625991651,2.6323173567226186
3.485913605999054,3.6360226105930096
3.3089143544166704,5.0
1.9515712854980345,3.7255774071202286
4.736855991699175,4.8480803069836265
3.455863823863584,3.977449265098302
3.142531212099833,5.0
3.359639905418284,5.0
3.9204881180670785,4.962478796119761
2.2477799819184074,3.779481152606416
2.5928842488643675,1.41249804927499
1.8393749959004886,3.1356170664310805
1.7447720235213446,2.8462321255118668
4.777489559935734,4.605775243483515
3.9582031801971502,4.994577404856939
2.9618352344702683,1.0
1.909658511893293,2.5130793902689037
2.0174259270815718,3.365296360005325
1.2321166412955025,2.264876218310582
2.737666502232483,2.13014910866862
2.2471835279764103,4.051578911819925
3.785373955261838,4.273569027737359
2.5110073571699236,2.438064410234401
1.7184147102385392,3.2554678465116877
1.098714913565325,3.4208510323656216
1.2689985258529943,2.7322172621694203
3.717571093994269,4.736497821196524
2.8147873782241812,3.589888729297911
3.146316844434889,3.3091540571401565
4.586685172161369,3.3177599472223807
4.9613557895868174,4.528657224066245
1.8675879375938957,3.21704813931637
3.652312812400403,4.77472065783217
2.0532895069486026,3.0178255534809217
1.0826039978629147,3.0666728648200277
4.033514615344566,3.2207110407786863
2.2800686032898714,2.4993372896416854
2.533855576687592,3.267396510035129
3.353268454214423,2.7882698708635925
4.324193820944762,5.0
3.515927374364595,4.3130967737786206
4.490602621789581,4.635348313285517
2.094168139262543,3.469984669979044
4.192187335650255,5.0
1.7425437772238088,2.5232763478156865
4.811166627887778,2.442325758997238
3.749953105551261,4.181811270882785
1.8620307084542338,2.981562297398077
4.789482361955697,4.030992914212522
3.9234232270806313,3.151057479420291
2.0157665703801033,2.690810905181812
1.853247909469928,3.1974279415865934
3.072802855722653,3.169453590808142
1.1026508722181263,4.934182940397806
1.8298803017644376,2.1007597913483727
2.698741875006025,2.702896861680785
2.496679921336902,1.1791177218680184
2.854301697459243,3.774604059974674
2.1105148251789276,1.240776264431481
3.347137385832675,3.2745581650688877
4.455422423692926,4.0903784282508635
1.4701274238481323,2.155523418608004
3.0695164286164567,5.0
1.5282724253806133,3.8040936086938366
3.8674387247703748,5.0
2.584238811229175,2.5596639161044568
3.261685247434036,4.8156238374801985
1.7331193448563145,3.435091764903485
1.579391037373509,3.6183250803034928
2.9522251225958183,4.563601699867497
2.4224509513998225,2.4521249015528093
4.761727781011253,4.105379428386732
4.061301015227861,4.970729728528237
3.994654479402189,1.5944356461689306
4.614878958983734,5.0
1.3336897417680742,3.2856572292989226
3.2087698796896262,3.6730538760144866
3.3379042758230755,3.9918134536390832
4.847745514188916,3.5739116930928194
2.1685901071701954,2.85353475829715
1.9633151196617873,4.1265608323368665
1.4011757690619913,4.0277205159315255
1.0657185183658968,5.0
4.718117267168762,4.416011373289675
3.67966618636364,3.331004436580703
4.140611648092551,3.7031896728842115
2.1269204230157963,2.1975896342150594
3.3456406647453067,3.7123147208762983
1.2558210644839245,3.0840645513984564
2.9425103837384916,3.5481501292012747
4.909980558977788,5.0
4.506020981266364,4.155565689168536
2.3526358073473825,2.94976614187353
4.846280618165994,3.9993980622473475
1.926806505884818,1.5116685180784868
4.797275289662726,3.0372310596349594
4.7655108188259945,3.390210483495454
4.196810349409567,5.0
3.5217917474671645,4.726611050453688
4.497151866499788,5.0
2.172081138031187,1.9221603085311285
4.395774221251672,2.4516513975416343
3.4715067676700953,3.22341494738437
1.052947431035598,2.7840311954593817
2.3889340717288783,3.7721121377460642
1.5925634437926601,3.8877809045039067
4.927317559273012,4.86299764249609
2.9134812281599523,5.0
2.989565461994651,3.393202988716368
3.5578900655948944,3.02709867631369
2.47433842451847,1.744755291784708
1.5476010867423957,2.0247537640479445
4.288470932776982,4.497132238652128
1.7593916476110318,2.1330054957956768
3.045275930185824,4.522996064753264
1.897268115898957,4.389318059844039
1.3913779379761362,1.0
4.448766069686734,5.0
4.891677956092521,2.4471319018785356
4.843338632252001,4.931526804784293
4.626221996884716,5.0
4.096189330794555,4.230669859731621
2.3325806081145677,2.053911395594402
1.324405559951987,2.1992871915116297
2.6289646856552293,3.172208816258811
1.928936568683771,2.890625105428277
1.529950539031932,2.6675227761779516
1.213708727147301,2.594602810501275
3.902377456842315,4.273018549454241
1.0457098345001241,1.4651670445485034
