Perceived benefits of AI,Willingness to adopt AI
3.534118843043579,4.420330036125485
3.143098736299034,3.2748548930113226
1.3611590802176332,2.614897300443584
4.341209982356952,3.797775559269461
2.2831202598869433,2.9452822104706837
1.746074041599417,2.2889265081502534
1.1631005662190557,2.0806505322129083
3.3635717727529673,3.8156601346402086
3.7102574473691297,3.0447077135791205
1.0663513157114246,3.41647242187802
3.048372233197124,2.4962623398643964
1.9059831007917518,1.6308373245473915
3.5806911616377994,4.346513043281861
1.6974657160199658,2.9035672868666333
3.763750952409864,4.088046971954723
2.5469413852021496,3.32441492916235
4.746919954946938,4.26198683062373
1.550083776583973,1.6284747192078206
2.364265404201034,2.82255039538226
1.4538940849623563,1.7219400754678065
4.698774473114251,4.922811731454404
4.509357413523924,4.0179550034685745
2.0317665108606224,1.9821648640874345
3.639936184136716,3.3481897068490363
4.268888800804863,4.258451962500001
3.2208032463978493,2.9144988582678626
3.118602313424026,2.669165180560634
1.9674091636018067,2.6900488211134768
1.3724110712235968,2.316095574646972
4.5888630318133075,3.816123487282593
4.601672228653322,3.849326690118767
3.5324058290930718,3.667850628478981
2.3561191641948027,1.750696034394599
2.3968382984506436,1.804783485960317
3.9038227154809575,3.2364973558762977
4.588441039810308,4.021304848882201
4.548345697060469,4.363093085066699
4.1195021834304955,4.908035727425899
